Artigo,Data,Kg
DTY 2X70/36DEN(15.6TEX) 100%PA SO,14/11/2012,4163
PES/CV CONV. 30/1NE(19.8TEX) 67%PES 33%CV,15/11/2012,1403
PES FIADO 120 - 5.000mt 100%PES  - PRETO,15/11/2012,2630
PES FIADO OE 40/1NE(14.9TEX) 100%PES,15/11/2012,618
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,15/11/2012,4335
ELASTANO 840DEN(93.3TEX) 100%PUE SO,15/11/2012,4880
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,16/11/2012,2380
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,17/11/2012,4595
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,18/11/2012,2131
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,18/11/2012,161
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,19/11/2012,3529
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,20/11/2012,4267
ALGODAO OE 8/1NE(74.3TEX) 100%CO,21/11/2012,1448
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,21/11/2012,2334
CO/PES PENTEADO 30/1NE(19.8TEX) 50%CO 50%PES,21/11/2012,2218
PES FIADO CONV. 60/1NE(9.9TEX) 100%PES,21/11/2012,2207
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,21/11/2012,1947
CV/PES OE 30/1NE(19.8TEX) 75%CV 25%PES,22/11/2012,2344
GENTOS 130/384DEN(14.4TEX) 100%PES SO,23/11/2012,4312
ALGODAO OE 10/1NE(59.5TEX) 100%CO,24/11/2012,3659
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%FIBRA METALIZADA BR,24/11/2012,1736
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,25/11/2012,4903
FINE 80/48DEN(8.9TEX) 100%PES SO,25/11/2012,4302
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,25/11/2012,1654
POY 125/72DEN(13.9TEX) 100%PES SO,26/11/2012,4696
PES FIADO OE 40/1NE(14.9TEX) 100%PES,26/11/2012,2496
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,27/11/2012,3195
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,27/11/2012,3012
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,28/11/2012,3279
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,29/11/2012,4178
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,30/11/2012,4364
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,30/11/2012,3736
SALDO DE PUE,01/12/2012,1076
DTY 2X100/68(11.1TEX) MI 100%PA SO,02/12/2012,3497
HMY 100/192DEN(11.1TEX) 100%PES SO,03/12/2012,3071
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,03/12/2012,149
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,04/12/2012,2758
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,05/12/2012,4693
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,06/12/2012,2930
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,06/12/2012,4311
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,07/12/2012,2644
NICOMA 20/1NE(29.7TEX) 100%PA SO,08/12/2012,4661
ALGODAO FLAME PENT. 40/1NE(14.9TEX) 100%CO,08/12/2012,1329
LINACEO TP 167/48DEN(18.6TEX) 2H 0T 100%PES SO,08/12/2012,4978
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,09/12/2012,486
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,09/12/2012,1437
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,09/12/2012,2670
PES/CV CONV. 40/1NE(14.9TEX) 52%PES 48%CV,10/12/2012,2295
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,10/12/2012,3693
VISCOSE FLAME 30/1NE(19.8TEX) 100%CV,10/12/2012,4818
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,10/12/2012,2636
DTY 150/96DEN(16.7TEX) LI 100%PES SO,11/12/2012,2105
GENTOS 65/204DEN(7.2TEX) 100%PES SO,12/12/2012,2599
SDY 300/10DEN(33.3TEX) 100%PES SO,12/12/2012,2760
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,13/12/2012,3813
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,14/12/2012,938
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,15/12/2012,4650
SDY 50/1DEN(5.6TEX) 100%PES SO,16/12/2012,2311
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,17/12/2012,2709
ELASTANO 20DEN(2.2TEX) 100%PUE BR,18/12/2012,712
ELASTANO 70DEN(7.8TEX) 100%PUE BR,18/12/2012,3401
ALGODAO OE 8/1NE(74.3TEX) 100%CO,19/12/2012,2010
POY 130/72DEN(14.4TEX) 100%PES FD,19/12/2012,721
DTY 75/72DEN(8.3TEX) LI 100%PES SO,19/12/2012,2546
PES/CV CONV. 30/1NE(19.8TEX) 67%PES 33%CV,20/12/2012,1420
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,20/12/2012,4773
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,20/12/2012,1262
SDY 33/10DEN(3.7TEX) 100%PA SO,20/12/2012,4180
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,20/12/2012,1430
CV/PES OE 30/1NE(19.8TEX) 75%CV 25%PES,20/12/2012,490
SALDO DE POY PES100%,21/12/2012,3794
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,21/12/2012,3010
SDY 75/36DEN(8.3TEX) 100%PES BR,21/12/2012,4736
SDY 300/10DEN(33.3TEX) 100%PES SO,22/12/2012,3344
LINACEO TP 300/216DEN(33.3TEX) 2H 0T 100%PES SO,22/12/2012,4550
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,23/12/2012,478
FIO MX-1/69 108DEN(12TEX) 100%PA BR,24/12/2012,5000
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,24/12/2012,2395
POY 125/72DEN(13.9TEX) 100%PES SO,24/12/2012,3164
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,25/12/2012,3635
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,25/12/2012,1340
FDY 70/24DEN(7.8TEX) 100%PA SO,25/12/2012,969
SDY 30DEN(3.3TEX) 100%PES SO,25/12/2012,3910
ICESPOL 145/60DEN(16.1TEX) 52%PES 48%PA SO,25/12/2012,1367
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,26/12/2012,4038
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,26/12/2012,2616
RENOVA 190/60DEN(21.1TEX) 100%PES SO,26/12/2012,4787
ELASTANO 15DEN(1.7TEX) 100%PUE BR,26/12/2012,4573
DTY 75/72DEN(8.3TEX) LI 100%PES SO,26/12/2012,2777
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,27/12/2012,2389
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,28/12/2012,2106
BAMBOO CONV. 32/1NE(18.6TEX) 100%CV,28/12/2012,1230
ESPOL-S 150/72DEN(16.7TEX) 100%PES SO,29/12/2012,135
DTY 70/72DEN(7.8TEX) 100%PA FD,30/12/2012,4429
VISCOSE OE 30/1NE(19.8TEX) 100%CV,31/12/2012,3418
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,31/12/2012,4759
DTY 190/54DEN(21.1TEX) 100%PA SO,31/12/2012,2023
VISCOSE OE 30/1NE(19.8TEX) 100%CV,01/01/2013,3479
FORBES 6 370/99DEN(41.1TEX) 94%PES 6%PUE SO,01/01/2013,2101
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,01/01/2013,4864
ALGODAO OE 8/1NE(74.3TEX) 100%CO,01/01/2013,4793
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,01/01/2013,1316
ALGODAO PENT. COMPAC 30/1NE(19.8TEX) 100%CO,02/01/2013,790
SCENE 100/24DEN(11.1TEX) 1200T 100%PA BR,02/01/2013,4838
DTY 300/72DEN(33.3TEX) 100%PES SO,03/01/2013,1041
DTY 150/48DEN(16.7TEX) 100%PES  - CREME,04/01/2013,3897
ICESPOL 145/60DEN(16.1TEX) 52%PES 48%PA SO,04/01/2013,2817
FIO MX-1/100 87DEN(9.7TEX) 52%PES 48%PA BR,04/01/2013,2483
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,04/01/2013,1224
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,05/01/2013,2013
DTY 100/108DEN(11.1TEX) MI 100%PES SO,05/01/2013,325
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,05/01/2013,859
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,05/01/2013,1298
MIXSPIN 150/96DEN(16.7TEX) 1000T 100%PES SO,06/01/2013,3949
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,07/01/2013,3160
ELASTANO 70DEN(7.8TEX) 100%PUE BR,07/01/2013,4120
DYE BLUE 90/21DEN(10TEX) 94%PA 6%PUE SO,07/01/2013,4976
FIO MX-1/100 65DEN(7.2TEX) 51%PES 49%PA BR,08/01/2013,858
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,09/01/2013,5000
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%FIBRA METALIZADA BR,10/01/2013,2340
DTY 200/96DEN(22.2TEX) 100%PES SO,11/01/2013,3988
ALGODAO OE 30/1NE(19.8TEX) 100%CO,12/01/2013,2233
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,12/01/2013,1940
DTY 2X200/48DEN(44.4TEX) 100%PES SO,13/01/2013,4266
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,13/01/2013,3364
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,13/01/2013,4698
CHUVISCO 162/48DEN(18TEX) 100%PES SO,13/01/2013,1685
DTY 75/72DEN(8.3TEX) HI 100%PES SO,13/01/2013,612
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,13/01/2013,3565
POY 245/48DEN(27.2TEX) 100%PES SO,14/01/2013,1961
ALGODAO OE 10/1NE(59.5TEX) 100%CO,14/01/2013,2370
CO/CV CONV. 30/1NE(19.8TEX) 50%CO 50%CV,15/01/2013,1307
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,15/01/2013,568
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,16/01/2013,1121
ALGODAO OE 10/1NE(59.5TEX) 100%CO,16/01/2013,669
CV/PES CONV. 30/1NE(19.8TEX) 85%CV 15%PES,16/01/2013,2723
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,16/01/2013,4024
DTY 70/36DEN(7.8TEX) 100%PA SO,16/01/2013,474
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,16/01/2013,1368
ATY 180/96DEN(20.TEX) 100%PA(PA 6) FD,16/01/2013,4472
DTY 150/48DEN(16.7TEX) 100%PES,16/01/2013,373
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,17/01/2013,1549
RESIDUO DE SDY PES100% SACOS,17/01/2013,2272
DTY 75/72DEN(8.3TEX) LI 100%PES SO,18/01/2013,4829
HMY 150/288DEN(16.7TEX) 100%PES SO,19/01/2013,4396
POY 250/96DEN(27.8TEX) 100%PES SO,20/01/2013,2020
VISCOSE CONV. 40/1NE(14.9TEX) 100%CV,20/01/2013,4514
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,20/01/2013,1870
ELASTANO 90/6DEN(10TEX) 100%PUE SO,21/01/2013,2400
DTY 75/24DEN(8.3TEX) 100%PA SO,22/01/2013,1854
DTY 70/68DEN(7.8TEX) 100%PA(PA 6) SO,23/01/2013,1364
DTY 200/96DEN(22.2TEX) 100%PES SO,24/01/2013,3030
MIXSPIN 150/96DEN(16.7TEX) 1000T 100%PES SO,25/01/2013,220
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,26/01/2013,1064
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,27/01/2013,4803
CV/PES OE 30/1NE(19.8TEX) 55%CV 45%PES,28/01/2013,3028
POY 250/96DEN(27.8TEX) 100%PES SO,29/01/2013,4713
DTY 300/72DEN(33.3TEX) 100%PES SO,30/01/2013,1479
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,31/01/2013,3177
DTY 2X100/68(11.1TEX) MI 100%PA SO,01/02/2013,2207
PES/CV CONV. 30/1NE(19.8TEX) 67%PES 33%CV,02/02/2013,4393
LINACEO TP 300/216DEN(33.3TEX) 2H 0T 100%PES SO,02/02/2013,3452
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,02/02/2013,3193
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,03/02/2013,3246
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,03/02/2013,2009
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,04/02/2013,467
SDY 75/36DEN(8.3TEX) 100%PES BR,04/02/2013,313
ELASTANO 20DEN(2.2TEX) 100%PUE BR,04/02/2013,4483
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,04/02/2013,2971
SDY 50/24DEN(5.6TEX) 100%PES SO,05/02/2013,508
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,06/02/2013,1644
SDY 150/96DEN(16.7TEX) 100%PES SO,07/02/2013,531
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,07/02/2013,4461
SDY 20DEN(2.2TEX) 100%PES BR,07/02/2013,3966
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,08/02/2013,700
DTY 2X200/48DEN(44.4TEX) 100%PES SO,08/02/2013,4702
PES FIADO 120 - 5.000mt 100%PES  - BRANCO,08/02/2013,316
GENTOS 65/192DEN(7.2TEX) 100%PES SO,09/02/2013,519
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,09/02/2013,4569
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,10/02/2013,4013
CO/PES PENTEADO 30/1NE(19.8TEX) 50%CO 50%PES,10/02/2013,4517
DTY 150/96DEN(16.7TEX) LI 100%PES SO,10/02/2013,667
ALGODAO OE 26/1NE(22.7TEX) 100%CO,10/02/2013,4403
POY 250/108DEN(27.8TEX) 100%PES SO,11/02/2013,1762
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,11/02/2013,2321
SALDO DE PUE,12/02/2013,496
SDY 300/10DEN(33.3TEX) 100%PES SO,12/02/2013,1491
PES FIADO CONV. 30/1NE(19.8TEX) 100%PES,12/02/2013,3690
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,13/02/2013,3392
DTY 75/72DEN(8.3TEX) MI 100%PES SO,14/02/2013,1665
CV/CLY OPEN END 30/1NE(19.8TEX) 78%CV 22%CLY,14/02/2013,1713
HMY 100/192DEN(11.1TEX) 100%PES SO,14/02/2013,1236
PES/CV CONV. 40/1NE(14.9TEX) 52%PES 48%CV,14/02/2013,531
CANCELADO,14/02/2013,206
DTY 150/108DEN(16.7TEX) LI 100%PES SO,14/02/2013,3934
PES FIADO 120 - 5.000mt 100%PES  - PRETO,14/02/2013,1313
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,14/02/2013,2260
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,14/02/2013,4712
RED SPIN 90/21DEN(10TEX) 300T 93%PA 7%PUE SO,15/02/2013,1823
CHUVISCO 150/48DEN(16.7TEX) 100%PES SO,15/02/2013,771
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,15/02/2013,1437
SDY 75/36DEN(8.3TEX) 100%PES BR,15/02/2013,3249
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,16/02/2013,2917
SENSE 100/48DEN(11.1TEX) 1000T 100%PES SO,16/02/2013,480
LINACEO 300/96DEN(33.3TEX) 100%PES BR,16/02/2013,3050
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,16/02/2013,2534
BAMBOO CONV. 30/1NE(19.8TEX) 67%CV 33%PA,16/02/2013,3608
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,17/02/2013,538
FINE 80/48DEN(8.9TEX) 100%PES SO,17/02/2013,2871
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,17/02/2013,713
SDY 33/10DEN(3.7TEX) 100%PA SO,17/02/2013,1760
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,17/02/2013,3757
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,18/02/2013,588
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,18/02/2013,1666
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,18/02/2013,4452
CV/PES CONV. 30/1NE(19.8TEX) 85%CV 15%PES,18/02/2013,3006
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,18/02/2013,3847
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,19/02/2013,3496
SDY 33/10DEN(3.7TEX) 100%PA SO,19/02/2013,2948
SALDO DE PUE,19/02/2013,1529
DTY 70/68DEN(7.8TEX) 100%PA(PA 6) SO,19/02/2013,3570
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,20/02/2013,4637
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,20/02/2013,730
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,20/02/2013,2214
POY 250/48DEN(27.8TEX) 100%PES SO,20/02/2013,1768
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,21/02/2013,2473
SCENE 100/24DEN(11.1TEX) 1200T 100%PA BR,21/02/2013,2276
DTY 325/96DEN(36.1TEX) LI 100%PES SO,21/02/2013,2891
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,22/02/2013,4221
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,22/02/2013,3632
DTY 2X70/72DEN(15.6TEX) 100%PA(PA 6) FD,23/02/2013,4094
POY 125/72DEN(13.9TEX) 100%PES SO,24/02/2013,3560
VISCOSE OE 40/1NE(14.9TEX) 100%CV,24/02/2013,1467
ATY 160/136DEN(17.8TEX) 100%PA SO,25/02/2013,4290
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,25/02/2013,211
PES/CV MVS 28/1NE(21.2TEX) 65%PES 35%CV,25/02/2013,1683
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,26/02/2013,953
ALGODAO CONV. 40/1NE(14.9TEX) 100%CO,27/02/2013,360
VISCOSE OE 30/1NE(19.8TEX) 100%CV,27/02/2013,4898
PES/CV CONV. 40/1NE(14.9TEX) 50%PES 50%CV,28/02/2013,2497
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,28/02/2013,2359
GENTOS 130/384DEN(14.4TEX) 100%PES SO,28/02/2013,4634
PES FIADO OE 40/1NE(14.9TEX) 100%PES,28/02/2013,2011
RESIDUO DE SDY PES100% SACOS,28/02/2013,4706
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,28/02/2013,1314
ALGODAO OE 24/1NE(24.TEX) 100%CO,28/02/2013,3717
SDY 240/12DEN(26.7TEX) 100%PES BR,28/02/2013,3453
DTY 2X70/36DEN(15.6TEX) 100%PA SO,28/02/2013,280
SDY 150/48DEN(16.7TEX) 100%PES BR,28/02/2013,560
PES FIADO 120 - 5.000mt 100%PES  - BRANCO,01/03/2013,4680
PES FIADO OE 40/1NE(14.9TEX) 100%PES,01/03/2013,4151
SALDO DE POY PES100%,02/03/2013,2869
LINACEO 300/96DEN(33.3TEX) 0T 100%PES SO,03/03/2013,3087
DTY 150/108DEN(16.7TEX) 2H MI 100%PES SO,04/03/2013,2621
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,05/03/2013,3299
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,06/03/2013,2486
PN 160/72DEN(17.8TEX) 100%PES SO,07/03/2013,4442
CV/PES OE 30/1NE(19.8TEX) 75%CV 25%PES,07/03/2013,4350
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,07/03/2013,489
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,08/03/2013,4855
SDY 100/36DEN(11.1TEX) 100%PES SO,09/03/2013,2144
DTY 70/36DEN(7.8TEX) 100%PA SO,10/03/2013,1787
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,11/03/2013,570
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA BR,11/03/2013,1711
DTY 75/36DEN(8.3TEX) 100%PA SO,12/03/2013,3916
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,13/03/2013,1340
DTY TP 75/34DEN(8.3TEX) 2H MI 100%PES SO,13/03/2013,3253
DTY 70/48DEN(7.8TEX) 100%PA FD,13/03/2013,1695
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,13/03/2013,2614
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,14/03/2013,1465
CV/CL/CO CONV. 30/1NE(19.8TEX) 80%CV 10%CL 10%CO,15/03/2013,4728
CV/PES OE 30/1NE(19.8TEX) 75%CV 25%PES,15/03/2013,1559
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,15/03/2013,3319
ELASTANO 40DEN(4.4TEX) 100%PUE SO,15/03/2013,1354
SDY 75/24DEN(8.3TEX) 100%PES SO,15/03/2013,870
BAMBOO CONV. 32/1NE(18.6TEX) 100%CV,16/03/2013,4113
RENOVA 190/60DEN(21.1TEX) 100%PES SO,16/03/2013,1244
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,17/03/2013,1461
ALGODAO OE 30/1NE(19.8TEX) 100%CO,17/03/2013,3435
POY 130/72DEN(14.4TEX) 100%PES SO,18/03/2013,1641
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,19/03/2013,1266
CV/PES OE 30/1NE(19.8TEX) 55%CV 45%PES,19/03/2013,1650
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,19/03/2013,3686
SDY 45/36DEN(5TEX) 100%PES SO,20/03/2013,3687
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,20/03/2013,3203
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,20/03/2013,2080
POY 250/108DEN(27.8TEX) 100%PES SO,21/03/2013,3398
GENTOS 65/192DEN(7.2TEX) 100%PES SO,21/03/2013,3175
DTY 75/34DEN(8.3TEX) MI 100%PES SO,21/03/2013,98
CV/PES OE 30/1NE(19.8TEX) 92%CV 8%PES,22/03/2013,377
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,23/03/2013,3045
SDY 20DEN(2.2TEX) 100%PES SO,24/03/2013,2197
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,24/03/2013,4067
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,24/03/2013,622
GENTOS 65/204DEN(7.2TEX) 100%PES SO,24/03/2013,3008
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,24/03/2013,1934
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,24/03/2013,90
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,24/03/2013,1228
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,25/03/2013,2212
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,25/03/2013,2258
ELASTANO 15DEN(1.7TEX) 100%PUE SO,26/03/2013,2670
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,26/03/2013,3087
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,26/03/2013,1394
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,26/03/2013,900
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,26/03/2013,4113
HMY 150/288DEN(16.7TEX) 100%PES SO,27/03/2013,4005
POY 125/36DEN(13.9TEX) 100%PES SO,27/03/2013,1538
ELASTANO 40DEN(4.4TEX) 100%PUE SO,27/03/2013,2127
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,27/03/2013,1836
SILK LIKE 78/72DEN(8.7TEX) 100%PES SO,27/03/2013,2690
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,27/03/2013,1183
SDY 30DEN(3.3TEX) 100%PES SO,27/03/2013,1963
DTY 75/34DEN(8.3TEX) MI 100%PES SO,27/03/2013,279
SDY 75/36DEN(8.3TEX) 100%PES BR,28/03/2013,2620
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,28/03/2013,4754
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,28/03/2013,4129
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,29/03/2013,4739
RENOVA 190/60DEN(21.1TEX) 100%PES SO,29/03/2013,1791
DTY 150/48DEN(16.7TEX) 100%PES SO,29/03/2013,3158
SDY 100/34DEN(11.1TEX) 100%PES SO,30/03/2013,1573
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,30/03/2013,257
ATY 160/136DEN(17.8TEX) 100%PA SO,30/03/2013,3377
VISCOSE OE 36/1NE(16.5TEX) 100%CV,30/03/2013,602
GENTOS 65/204DEN(7.2TEX) 100%PES SO,30/03/2013,2848
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,31/03/2013,1036
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,31/03/2013,1600
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,31/03/2013,2099
CO/PES PENTEADO 30/1NE(19.8TEX) 50%CO 50%PES,31/03/2013,1682
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,31/03/2013,4252
DTY 150/108DEN(16.7TEX) LI 100%PES SO,31/03/2013,3390
ELASTANO 30DEN(3.3TEX) 100%PUE SO,01/04/2013,3984
ELASTANO 15DEN(1.7TEX) 100%PUE BR,01/04/2013,4622
FIO MX-1/69 108DEN(12TEX) 62%PES 38%PA BR,02/04/2013,2515
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,02/04/2013,4080
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,02/04/2013,4252
SDY 100/36DEN(11.1TEX) 100%PES SO,02/04/2013,3946
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,02/04/2013,2500
VISCOSE OE 40/1NE(14.9TEX) 100%CV,03/04/2013,3875
PES/CV CONV. 30/1NE(19.8TEX) 67%PES 33%CV,03/04/2013,4429
ELASTANO 70DEN(7.8TEX) 100%PUE BR,04/04/2013,2386
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,04/04/2013,1091
SDY 150/48DEN(16.7TEX) 100%PES BR,05/04/2013,2395
SILK LIKE 78/72DEN(8.7TEX) 100%PES SO,06/04/2013,3943
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,07/04/2013,1000
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6) SO,08/04/2013,632
DTY 150/48DEN(16.7TEX) 100%PES  - CREME,08/04/2013,620
FIO MX-1/100 55DEN(6.1TEX) 59%PA 41%PES BR,09/04/2013,2572
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,09/04/2013,4451
ELASTANO 40DEN(4.4TEX) 100%PUE BR,09/04/2013,496
